score,user_rating,es_scaled_score,isbn,book_title,book_author,year_of_publication,publisher,summary,category
12.116719449353136,14.821205139160156,8.736112337094362,1557831106,The Life of the Drama,Eric Bentley,1991,Applause Books,"The book justifies its title by being precisely about the ways in
which life manifests itself in the theatre...This is a book to be read
again and again.&quot; Frank Kermode, The New York Review of Books",['performing arts']
11.827815882783277,14.65339183807373,8.295845938670208,0805057676,Carl Sagan: A Life in the Cosmos,William Poundstone,2000,Owl Publishing Company,"In this compelling life of Carl Sagan, award-winning science writer
William Poundstone details the transformation of a bookish young
astronomer obsessed with life on other worlds into science&#39;s first
authentic media superstar.",['biography & autobiography']
11.601663984126631,14.740667343139648,7.6779097853603595,0060523999,How Ronald Reagan Changed My Life,Peter Robinson,2003,Regan Books,"&quot;The longer I studied Ronald Reagan, the more lessons I
learned.&quot; At the core of How Ronald Reagan Changed My Life are
ten of the life lessons Robinson learned from the fortieth President-
principles that have guided his own life ever since.",['biography & autobiography']
10.930558863570429,14.043664932250977,7.039176277719743,1888387653,"Joy (Good Life Series, 4)",Kobi Yamada,2002,Compendium Publishing & Communications,"A new line of quotation books that combine great style with great
content at a fabulous price. Perfect for people of all walks of life.
These inspiring books will make fantastic gifts for friends, family,
customers and coworkers.",['self-help']
10.651320870887837,14.278006553649902,6.117963767435253,0684846233,SPIRITUAL SIMPLICITY : SIMPLIFY YOUR LIFE AND ENRICH YOUR SOUL,David Yount,1999,Fireside,"Advocating a return to the simple life, the author of this guide to
spiritual bliss in a harried world offers how-to exercises in how to
clear the mental debris and concentrate on growing our talents and
practicing love.",['self-help']
10.138574343033591,11.086642742156982,8.953488844129355,0689852703,The Life History of A Star,Kelly Easton,2002,Simon Pulse,"The Life History of a Star is Kristin&#39;s sometimes comical,
sometimes cynical, always thoughtful diary about what her life has
been like since the ghost arrived.",['juvenile fiction']
10.08130128842937,12.51500129699707,7.039176277719743,0140165320,Serious Pleasures: The Life of Stephen Tennant,Philip Hoare,1992,Penguin USA,"Out of Tennant&#39;s bizarre and outrageously eccentric life, Hoare
has created a superb biography that reflects an age of intellect,
indolence, narcissism, and pure style. 32 pages of photographs; 22
drawings.",['biography & autobiography']
9.960099040555765,11.291501522064209,8.295845938670208,0880703539,Growing Strong In the Seasons of Life,Charles R. Swindoll,1990,Multnomah@ Press,"A devotional companion that helps you grow close to God through every
season of life, in every condition of the heart.It challenges and
encourages you to discover what&#39;s truly important in your own
life.",['devotional exercises']
9.854501177134487,12.21848726272583,6.899518570145307,1890132942,This Organic Life: Confessions of a Suburban Homesteader,Joan Dye Gussow,2001,Chelsea Green Publishing Company,"A woman with a decidedly green thumb, Gussow&#39;s book describes her
quest to grow an organic garden that will totally provide for her
family, thus eliminating store bought, foreign produced foods from
their life. 30 recipes.",['gardening']
9.828481499774634,13.67088794708252,5.025473440639779,0380016362,Laura : The Life of Laura Ingalls Wilder,Donald Zochert,1977,Avon,"centerCourage, Adventure, Steadfast Love From a little house set deep
in the Big Woods of Wisconsin, across Indian territory and into the
Dakotas, Laura&#39;s family moved westward right along the frontier.",['biography & autobiography']
